Date,X2110760,X2110777,X2110815,X2172020,X2172040,X2172050,X21720698,X21720710,X21989784,X21989791
1987-01-01,0.036487187,10.17539957,0.299200929,0.056970591,0.068975701,0.352220366,NA,17.89667615,NA,NA
1987-01-02,0.033918965,0.837710192,0.07931298,0.056970591,0.063176706,0.113598202,NA,16.41048717,NA,NA
1987-01-03,0.029667229,0.732587198,0.077057781,0.056087506,0.053003967,0.103000087,NA,16.47771483,NA,NA
1987-01-04,0.028821483,0.628477841,0.07931298,0.055205332,0.050808584,0.10024683,NA,17.15170964,NA,NA
1987-01-05,0.028821483,0.423906753,0.066741377,0.054764591,0.050370244,0.092017318,NA,18.03252264,NA,NA
1987-01-06,0.028399215,0.177937289,0.068975701,0.054764591,0.049056733,0.081120183,NA,17.42217625,NA,NA
1987-01-07,0.027555919,0.177937289,0.073458504,0.055205332,0.049056733,0.07525673,NA,18.03252264,NA,NA
1987-01-08,0.02671431,0.130782698,0.064957437,0.055646304,0.049494317,0.074806906,NA,21.12072784,NA,NA
1987-01-09,0.027977359,0.130782698,0.055646304,0.055205332,0.049494317,0.07570673,NA,21.8846608,NA,NA
1987-01-10,0.027977359,0.177937289,0.066741377,0.054764591,0.049056733,0.072111725,NA,21.95428222,NA,NA
1987-01-11,0.031788437,0.040361635,0.064957437,0.054764591,0.048619405,0.067634527,NA,21.46753681,NA,NA
1987-01-12,0.028821483,0.130782698,0.068081393,0.054764591,0.048182335,0.067187854,NA,21.81506812,NA,NA
1987-01-13,0.027555919,0.373682554,0.061399264,0.054764591,0.047745524,0.077057781,NA,22.16331872,NA,NA
1987-01-14,0.0271349,0.177937289,0.064066666,0.054764591,0.048619405,0.092473284,NA,21.74550422,NA,NA
1987-01-15,0.030090698,0.177937289,0.059625191,0.054764591,0.052125084,0.097040976,NA,21.67596912,NA,NA
1987-01-16,0.032213814,0.27463172,0.060511801,0.055205332,0.051686006,0.100705365,NA,21.95428222,NA,NA
1987-01-17,0.036916402,0.27463172,0.058739445,0.054324082,0.049494317,0.087011622,NA,22.02393236,NA,NA
1987-01-18,0.035201541,0.130782698,0.068081393,0.054324082,0.048619405,0.089284657,NA,22.0936112,NA,NA
1987-01-19,0.035201541,0.084742482,0.058739445,0.053883807,0.046872691,0.068528451,NA,20.08466745,NA,NA
1987-01-20,0.033918965,0.084742482,0.060511801,0.053883807,0.046436672,0.06451195,NA,21.8846608,NA,NA
1987-01-21,0.033918965,0.130782698,0.064957437,0.053443769,0.046436672,0.06451195,NA,21.81506812,NA,NA
1987-01-22,0.036916402,0.22594019,0.058739445,0.051686006,0.042091616,0.064066666,NA,22.65207235,NA,NA
1987-01-23,0.031788437,0.040361635,0.064066666,0.047745524,0.038205996,0.056528935,NA,20.22242828,NA,NA
1987-01-24,0.029244156,0.040361635,0.062287569,0.04295837,0.033918965,0.053003967,NA,20.77464439,NA,NA
1987-01-25,0.031363432,0.130782698,0.053003967,0.042091616,0.033065669,0.054324082,NA,20.9129905,NA,NA
1987-01-26,0.033065669,0.084742482,0.059625191,0.042091616,0.033918965,0.057412471,NA,20.29135278,NA,NA
1987-01-27,0.029244156,0.177937289,0.056970591,0.046436672,0.036058303,0.058739445,NA,21.53698539,NA,NA
1987-01-28,0.028399215,0.177937289,0.064066666,0.046000922,0.038636501,0.061399264,NA,20.9129905,NA,NA
1987-01-29,0.028399215,0.177937289,0.054764591,0.047745524,0.03992989,0.060068388,NA,21.051453,NA,NA
1987-01-30,0.02671431,0.040361635,0.054764591,0.047745524,0.040361635,0.059625191,NA,19.80949924,NA,NA
1987-01-31,0.026294152,0.040361635,0.053883807,0.048182335,0.040793683,0.059625191,NA,19.74078099,NA,NA
1987-02-01,0.025874434,NA,0.049494317,0.048619405,0.041226031,0.066741377,NA,20.70551505,NA,NA
1987-02-02,0.025455161,NA,0.046000922,0.049056733,0.04295837,0.07976453,NA,20.56734395,NA,NA
1987-02-03,0.024617978,NA,0.047745524,0.049056733,0.04295837,0.073458504,NA,22.02393236,NA,NA
1987-02-04,0.02420008,NA,0.054764591,0.049494317,0.04295837,0.067634527,NA,24.83323977,NA,NA
1987-02-05,0.023782655,NA,0.051247172,0.049494317,0.043392179,0.064957437,NA,25.47152683,NA,NA
1987-02-06,0.023782655,NA,0.046872691,0.049494317,0.043392179,0.061399264,NA,28.33539532,NA,NA
1987-02-07,0.028821483,NA,0.050370244,0.049494317,0.043392179,0.067634527,NA,27.25630244,NA,NA
1987-02-08,0.025874434,NA,0.055646304,0.049494317,0.043392179,0.073009397,NA,25.11664472,NA,NA
1987-02-09,0.026294152,NA,0.050370244,0.046872691,0.043392179,NA,NA,22.72200846,NA,NA
1987-02-10,0.025455161,NA,0.062287569,0.045565442,0.041658676,NA,NA,23.70409409,NA,NA
1987-02-11,0.02671431,0.040361635,0.062287569,0.046000922,0.042091616,0.059182209,NA,23.56345664,NA,NA
1987-02-12,0.025874434,0.040361635,0.049494317,0.045130235,0.042524848,0.060511801,NA,23.70409409,NA,NA
1987-02-13,0.02671431,NA,0.064957437,0.043826272,0.041658676,0.060955426,NA,24.55028109,NA,NA
1987-02-14,0.02671431,0.084742482,0.055646304,0.043826272,0.041658676,0.067634527,NA,24.90404921,NA,NA
1987-02-15,0.0271349,0.084742482,0.058739445,0.046000922,0.046436672,0.10024683,NA,25.11664472,NA,NA
1987-02-16,0.028399215,0.177937289,0.052125084,0.046000922,0.050808584,0.213387921,NA,26.68330219,NA,NA
1987-02-17,0.028821483,0.040361635,0.060511801,0.043826272,0.042524848,0.064066666,NA,24.83323977,NA,NA
